day,BTCUSDT,ETHUSDT
2021-10-03,47796.94,3407.89
2021-10-03,47724.79,3400.71
2021-10-03,47705.18,3397.86
2021-10-03,47676.88,3396.26
2021-10-03,47717.69,3404.15
2021-10-03,47743.0,3405.31
2021-10-03,47633.07,3387.29
2021-10-03,47568.64,3380.47
2021-10-03,47514.56,3374.61
2021-10-03,47206.29,3357.59
2021-10-03,47264.9,3362.75
2021-10-03,47272.06,3364.61
2021-10-03,47360.64,3373.6
2021-10-03,47365.42,3376.29
2021-10-03,47294.43,3368.02
2021-10-03,47382.46,3379.53
2021-10-03,47240.47,3366.91
2021-10-03,47334.56,3374.29
2021-10-03,47314.53,3369.86
2021-10-03,47391.7,3377.02
2021-10-03,47477.96,3385.62
2021-10-03,47563.81,3390.53
2021-10-03,47541.49,3392.31
2021-10-03,47516.37,3387.58
2021-10-03,47572.31,3393.51
2021-10-03,47606.45,3407.39
2021-10-03,47706.43,3421.08
2021-10-03,47656.07,3412.11
2021-10-03,47703.2,3418.91
2021-10-03,47724.81,3423.97
2021-10-03,47667.27,3414.94
2021-10-03,47601.67,3408.25
2021-10-03,47591.24,3404.82
2021-10-03,47572.26,3400.15
2021-10-03,47670.0,3406.44
2021-10-03,47620.36,3398.76
2021-10-03,47595.59,3393.99
2021-10-03,47553.53,3388.57
2021-10-03,47566.11,3392.58
2021-10-03,47669.93,3398.2
2021-10-03,47614.73,3386.27
2021-10-03,47593.24,3384.41
2021-10-03,47646.7,3386.26
2021-10-03,47627.62,3385.26
2021-10-03,47714.91,3392.85
2021-10-03,47673.24,3385.79
2021-10-03,47843.35,3397.62
2021-10-03,47898.66,3404.97
2021-10-03,47819.87,3394.98
2021-10-03,47853.89,3403.07
2021-10-03,47881.31,3405.65
2021-10-03,47837.68,3398.3
2021-10-03,47850.41,3398.23
2021-10-03,47864.88,3398.75
2021-10-03,47861.7,3398.75
2021-10-03,47914.92,3404.62
2021-10-03,47858.84,3398.73
2021-10-03,47923.04,3405.79
2021-10-03,47912.87,3400.84
2021-10-03,47890.78,3398.07
2021-10-03,47943.65,3404.89
2021-10-03,47992.92,3410.36
2021-10-03,47981.2,3405.09
2021-10-03,47928.33,3400.5
2021-10-03,47959.14,3404.49
2021-10-03,47968.17,3408.33
2021-10-03,48077.58,3423.95
2021-10-03,48085.71,3424.74
2021-10-03,48063.89,3421.05
2021-10-03,48043.26,3421.06
2021-10-03,48027.91,3420.35
2021-10-03,47990.14,3417.76
2021-10-03,47916.01,3405.3
2021-10-03,47950.0,3407.63
2021-10-03,47928.12,3404.09
2021-10-03,47940.81,3406.09
2021-10-03,47956.1,3409.59
2021-10-03,47955.69,3409.22
2021-10-03,47997.22,3417.81
2021-10-03,48025.91,3418.74
2021-10-03,47996.81,3412.48
2021-10-03,48033.48,3416.79
2021-10-03,48029.69,3416.47
2021-10-03,47972.99,3412.66
2021-10-03,47949.9,3411.0
2021-10-03,47874.33,3401.68
2021-10-03,47886.55,3402.74
2021-10-03,47917.42,3405.33
2021-10-03,47880.66,3397.41
2021-10-03,47846.9,3391.74
2021-10-03,47897.5,3397.28
2021-10-03,47879.63,3395.17
2021-10-03,47867.02,3393.99
2021-10-03,47919.99,3399.55
2021-10-03,47876.88,3394.94
2021-10-03,47895.99,3393.07
2021-10-03,47906.82,3393.03
2021-10-03,47924.99,3393.43
2021-10-03,47980.57,3400.33
2021-10-03,47972.8,3404.12
2021-10-03,47962.72,3404.72
2021-10-03,47963.99,3407.04
2021-10-03,47944.85,3413.1
2021-10-03,47931.35,3410.22
2021-10-03,47857.88,3400.19
2021-10-03,47849.99,3396.89
2021-10-03,47892.38,3399.77
2021-10-03,47823.99,3392.21
2021-10-03,47754.88,3385.71
2021-10-03,47739.85,3384.3
2021-10-03,47651.13,3372.57
2021-10-03,47693.99,3375.42
2021-10-03,47738.4,3381.82
2021-10-03,47739.62,3380.5
2021-10-03,47849.64,3391.13
2021-10-03,47758.84,3381.83
2021-10-03,47734.31,3380.73
2021-10-03,47781.8,3385.2
2021-10-03,47805.8,3389.24
2021-10-03,47830.09,3391.15
2021-10-03,47780.5,3382.92
2021-10-03,47800.35,3383.79
2021-10-03,47888.0,3393.44
2021-10-03,47951.01,3407.18
2021-10-03,47896.5,3402.01
2021-10-03,47923.05,3402.45
2021-10-03,47861.07,3395.52
2021-10-03,47842.94,3395.56
2021-10-03,47859.45,3399.9
2021-10-03,47854.49,3399.78
2021-10-03,47779.99,3387.13
2021-10-03,47812.32,3390.41
2021-10-03,47873.99,3400.19
2021-10-03,47985.21,3408.72
2021-10-03,47938.89,3404.5
2021-10-03,47939.47,3406.41
2021-10-03,48033.99,3417.99
2021-10-03,47996.33,3417.92
